STATE,ST,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE
West Virginia,WV,2001,285785.0,2321731,244971,1388046,688714,2310098,1306105,699263,159933.0,131916
West Virginia,WV,2002,282145.0,2413744,258017,1451026,704701,2427316,1346601,710125,163018.0,194544
West Virginia,WV,2003,281591.0,2497707,267470,1519848,710389,2524444,1420396,761887,164473.0,166233
West Virginia,WV,2004,280561.0,2585084,290752,1546921,747411,2603996,1458141,784602,168905.0,181816
West Virginia,WV,2005,279456.0,2701056,329159,1607433,764464,2698703,1524187,852145,174265.0,137026
West Virginia,WV,2006,279788.0,2814536,346628,1649661,818247,2852607,1569685,897874,184320.0,187462
West Virginia,WV,2007,281298.0,2905489,353571,1677212,874706,2983267,1608247,941055,189649.0,228873
West Virginia,WV,2008,281735.0,2965828,320529,1723068,922231,3068910,1667812,945152,190634.0,249687
West Virginia,WV,2009,281908.0,3097212,355325,1793917,947970,3121728,1759397,994305,196984.0,157049
West Virginia,WV,2010,281828.0,3176874,513794,1677745,985335,3484593,1978226,1094980,204402.0,191662
West Virginia,WV,2011,282130.0,3475642,510256,1927726,1037660,3670119,2010407,1160212,211866.0,269242
West Virginia,WV,2012,282088.0,3970941,432223,2014017,1524701,3536971,1893954,1155259,220973.0,245082
West Virginia,WV,2013,282310.0,3486366,383169,2027414,1075783,3488877,1828234,1130079,225073.0,284685
West Virginia,WV,2014,280265.0,3514889,351957,2033948,1128984,3499873,1823665,1147776,222824.0,286099
West Virginia,WV,2015,279565.0,3478401,362959,1979466,1135976,3466981,1819903,1161944,233836.0,232738
West Virginia,WV,2016,276764.0,3391579,358068,1863062,1170449,3366566,1804235,1127255,236487.0,181392
Wisconsin,WI,2000,877165.0,7848352,354829,4292527,3200996,8183251,4225688,2316000,265155.0,958597
Wisconsin,WI,2001,875569.0,8363904,398365,4517924,3447615,8574804,4434212,2495299,280656.0,943973
Wisconsin,WI,2002,875216.0,8624767,450159,4682300,3492308,8863966,4642886,2601068,325160.0,863118
Wisconsin,WI,2003,875390.0,8931497,530014,4838109,3563374,9128279,4844788,2757563,346325.0,733156
Wisconsin,WI,2004,874233.0,9183588,550729,4732025,3900834,9126345,4936038,2846939,361605.0,540870
Wisconsin,WI,2005,869301.0,9584108,565072,4770290,4248746,9433502,5128207,2944041,382137.0,472358
Wisconsin,WI,2006,869596.0,9855692,580810,5066552,4208330,9779642,5290595,3064437,400780.0,545716
Wisconsin,WI,2007,870584.0,10154985,574090,5175386,4405509,9988878,5459295,3147269,420699.0,467948
Wisconsin,WI,2008,867929.0,10619354,629423,5221550,4768381,10545964,5619617,3294291,451721.0,666877
Wisconsin,WI,2009,867035.0,10991081,1258519,4785070,4947492,10880480,5857285,3382519,473295.0,648807
Wisconsin,WI,2010,864898.0,11289720,1115342,4951919,5222459,11116821,5994721,3455651,485711.0,617744
Wisconsin,WI,2011,864251.0,11664303,1002909,5226954,5434440,11440718,6138402,3668777,479352.0,541918
Wisconsin,WI,2012,863314.0,11139967,907311,4786356,5446300,10724377,5631108,3525882,491104.0,449246
Wisconsin,WI,2013,863737.0,11097447,827432,5587013,4683002,10845059,5637545,3551036,496850.0,521352
Wisconsin,WI,2014,865119.0,11330253,830568,5709579,4790106,11255186,5685955,3616770,498431.0,767074
Wisconsin,WI,2015,861813.0,11637376,814385,5869265,4953726,11553677,5723474,3691809,513402.0,894823
Wisconsin,WI,2016,857736.0,11697466,782610,5986763,4928093,11787535,5760418,3691439,508013.0,1082849
Wyoming,WY,2000,91883.0,787323,66085,408356,312882,769923,417424,242832,24899.0,70579
Wyoming,WY,2001,89711.0,804297,69172,403021,332104,787949,426072,254937,24913.0,67913
Wyoming,WY,2002,87897.0,908719,75498,443525,389696,868607,463839,272836,27488.0,92550
Wyoming,WY,2003,85966.0,962240,84308,489199,388733,915515,473447,292271,27608.0,110312
Wyoming,WY,2004,86925.0,974888,95995,507155,371738,953916,483989,303976,28257.0,126574
Wyoming,WY,2005,84146.0,1132160,106484,585789,439887,1033603,510498,324752,29657.0,158464
Wyoming,WY,2006,86155.0,1150345,115937,507178,527230,1146527,571127,362807,34310.0,168214
Wyoming,WY,2007,85034.0,1477891,111051,722364,644476,1390344,661713,428613,42353.0,246698
Wyoming,WY,2008,85991.0,1602514,100207,846239,656068,1517325,703831,449989,43352.0,309892
Wyoming,WY,2009,86971.0,1675761,108333,945765,621663,1658156,744877,482641,47165.0,372507
Wyoming,WY,2010,87379.0,1718605,123942,880916,713747,1696177,787627,504838,49289.0,340678
Wyoming,WY,2011,88165.0,1650621,154955,878979,616687,1656850,825783,528352,52046.0,234408
Wyoming,WY,2012,89994.0,1664983,144728,851896,668359,1670728,845801,540510,53299.0,213245
Wyoming,WY,2013,91533.0,1695967,113501,881114,701352,1675477,846872,546422,52001.0,213920
Wyoming,WY,2014,92732.0,1772633,112709,965213,694711,1775999,865932,555761,50715.0,287977
Wyoming,WY,2015,93867.0,1962874,120290,1116917,725667,1942406,895910,565489,52520.0,409425
Wyoming,WY,2016,94511.0,2044669,123012,1175899,745758,2034229,921494,585700,53570.0,454302
