Year,Jurisdiction,All students,Average scale score
1994,Idaho,All students,‡
1994,Illinois,All students,—
1994,Indiana,All students,220
1994,Iowa,All students,223
1994,Kansas,All students,—
1994,Kentucky,All students,212
1994,Louisiana,All students,197
1994,Maine,All students,228
1994,Maryland,All students,210
1994,Massachusetts,All students,223
1994,Michigan,All students,‡
1994,Minnesota,All students,218
1994,Mississippi,All students,202
1994,Missouri,All students,217
1994,Montana,All students,222
1994,Nebraska,All students,220
1994,Nevada,All students,—
1994,New Hampshire,All students,223
1994,New Jersey,All students,219
1994,New Mexico,All students,205
1994,New York,All students,212
1994,North Carolina,All students,214
1994,North Dakota,All students,225
1994,Ohio,All students,—
1994,Oklahoma,All students,—
1994,Oregon,All students,—
1994,Pennsylvania,All students,215
1994,Rhode Island,All students,220
1994,South Carolina,All students,203
1994,South Dakota,All students,—
1994,Tennessee,All students,213
1994,Texas,All students,212
1994,Utah,All students,217
1994,Vermont,All students,—
1994,Virginia,All students,213
1994,Washington,All students,213
1994,West Virginia,All students,213
1994,Wisconsin,All students,224
1994,Wyoming,All students,221
1992,Alabama,All students,207
1992,Alaska,All students,—
1992,Arizona,All students,209
1992,Arkansas,All students,211
1992,California,All students,202
1992,Colorado,All students,217
1992,Connecticut,All students,222
1992,Delaware,All students,213
1992,District of Columbia,All students,188
1992,Florida,All students,208
1992,Georgia,All students,212
1992,Hawaii,All students,203
1992,Idaho,All students,219
1992,Illinois,All students,—
1992,Indiana,All students,221
1992,Iowa,All students,225
1992,Kansas,All students,—
1992,Kentucky,All students,213
1992,Louisiana,All students,204
1992,Maine,All students,227
1992,Maryland,All students,211
1992,Massachusetts,All students,226
1992,Michigan,All students,216
1992,Minnesota,All students,221
1992,Mississippi,All students,199
1992,Missouri,All students,220
1992,Montana,All students,—
1992,Nebraska,All students,221
1992,Nevada,All students,—
1992,New Hampshire,All students,228
1992,New Jersey,All students,223
1992,New Mexico,All students,211
1992,New York,All students,215
1992,North Carolina,All students,212
1992,North Dakota,All students,226
1992,Ohio,All students,217
1992,Oklahoma,All students,220
1992,Oregon,All students,—
1992,Pennsylvania,All students,221
1992,Rhode Island,All students,217
1992,South Carolina,All students,210
1992,South Dakota,All students,—
1992,Tennessee,All students,212
1992,Texas,All students,213
1992,Utah,All students,220
1992,Vermont,All students,—
1992,Virginia,All students,221
1992,Washington,All students,—
1992,West Virginia,All students,216
1992,Wisconsin,All students,224
1992,Wyoming,All students,223
2017,Alabama,All students,216
2017,Alaska,All students,207
2017,Arizona,All students,215
2017,Arkansas,All students,216
2017,California,All students,215
2017,Colorado,All students,225
2017,Connecticut,All students,228
2017,Delaware,All students,221
2017,District of Columbia,All students,213
2017,Florida,All students,228
2017,Georgia,All students,220
2017,Hawaii,All students,216
2017,Idaho,All students,223
2017,Illinois,All students,220
2017,Indiana,All students,226
2017,Iowa,All students,222
2017,Kansas,All students,223
2017,Kentucky,All students,224
2017,Louisiana,All students,212
2017,Maine,All students,221
2017,Maryland,All students,225
2017,Massachusetts,All students,236
2017,Michigan,All students,218
2017,Minnesota,All students,225
2017,Mississippi,All students,215
2017,Missouri,All students,223
2017,Montana,All students,222
2017,Nebraska,All students,224
2017,Nevada,All students,215
2017,New Hampshire,All students,229
