Year,Jurisdiction,All students,Average scale score
2007,Illinois,All students,280.497096028329
2007,Indiana,All students,285.007210900174
2007,Iowa,All students,285.226903146597
2007,Kansas,All students,290.032599829257
2007,Kentucky,All students,278.704749914375
2007,Louisiana,All students,272.386299598469
2007,Maine,All students,286.472253115987
2007,Maryland,All students,285.734265236821
2007,Massachusetts,All students,297.923344483955
2007,Michigan,All students,276.830517083696
2007,Minnesota,All students,291.85111653854
2007,Mississippi,All students,264.890918700127
2007,Missouri,All students,280.619538285703
2007,Montana,All students,287.075528953695
2007,Nebraska,All students,283.650598646173
2007,Nevada,All students,270.804024374923
2007,New Hampshire,All students,287.557060954994
2007,New Jersey,All students,288.583451449458
2007,New Mexico,All students,267.538078662633
2007,New York,All students,280.141177237476
2007,North Carolina,All students,283.880668759806
2007,North Dakota,All students,291.561611918756
2007,Ohio,All students,284.851639473941
2007,Oklahoma,All students,274.534989354995
2007,Oregon,All students,283.826277204194
2007,Pennsylvania,All students,286.16686332577
2007,Rhode Island,All students,275.386990471622
2007,South Carolina,All students,281.503601480921
2007,South Dakota,All students,288.463925271604
2007,Tennessee,All students,273.978786623685
2007,Texas,All students,285.870708420456
2007,Utah,All students,281.087473705525
2007,Vermont,All students,291.010773791979
2007,Virginia,All students,287.625904963882
2007,Washington,All students,284.862804344983
2007,West Virginia,All students,270.084093587271
2007,Wisconsin,All students,285.617942521924
2007,Wyoming,All students,286.987771483089
2005,Alabama,All students,262.211100048323
2005,Alaska,All students,278.958709394219
2005,Arizona,All students,274.305090048274
2005,Arkansas,All students,271.636348366415
2005,California,All students,268.558128581435
2005,Colorado,All students,280.824007310133
2005,Connecticut,All students,281.068953005311
2005,Delaware,All students,280.95354283122
2005,District of Columbia,All students,245.215780768922
2005,Florida,All students,274.04837689748
2005,Georgia,All students,272.191564411022
2005,Hawaii,All students,265.629319114115
2005,Idaho,All students,280.966896649599
2005,Illinois,All students,277.672238913307
2005,Indiana,All students,281.714945536305
2005,Iowa,All students,283.810928831672
2005,Kansas,All students,284.030053484553
2005,Kentucky,All students,273.983027164396
2005,Louisiana,All students,267.755030846034
2005,Maine,All students,281.058540918142
2005,Maryland,All students,277.930794576753
2005,Massachusetts,All students,291.5135411152
2005,Michigan,All students,277.346681960374
2005,Minnesota,All students,290.074995791089
2005,Mississippi,All students,262.456242710419
2005,Missouri,All students,276.44993926095
2005,Montana,All students,286.432001216413
2005,Nebraska,All students,283.9629910353
2005,Nevada,All students,269.905585503685
2005,New Hampshire,All students,285.2533570362
2005,New Jersey,All students,283.902604236295
2005,New Mexico,All students,263.275162986677
2005,New York,All students,279.716253699868
2005,North Carolina,All students,281.825136586578
2005,North Dakota,All students,286.960953441317
2005,Ohio,All students,283.251774708647
2005,Oklahoma,All students,271.359902408679
2005,Oregon,All students,282.237325362273
2005,Pennsylvania,All students,280.713835066326
2005,Rhode Island,All students,272.345018074323
2005,South Carolina,All students,281.23432113535
2005,South Dakota,All students,287.303617983357
2005,Tennessee,All students,270.524576784271
2005,Texas,All students,281.102845047493
2005,Utah,All students,279.156123426792
2005,Vermont,All students,287.356487616841
2005,Virginia,All students,284.371628221298
2005,Washington,All students,285.052229728136
2005,West Virginia,All students,269.099492803301
2005,Wisconsin,All students,284.541556582959
2005,Wyoming,All students,282.100609598155
2003,Alabama,All students,261.939022225118
2003,Alaska,All students,279.025069865231
2003,Arizona,All students,271.177350478914
2003,Arkansas,All students,265.771589343076
2003,California,All students,267.049500585455
2003,Colorado,All students,283.399858481467
2003,Connecticut,All students,283.729811207579
2003,Delaware,All students,277.158368932433
2003,District of Columbia,All students,243.059638247651
2003,Florida,All students,271.371490239171
2003,Georgia,All students,269.677009232403
2003,Hawaii,All students,265.728581015081
2003,Idaho,All students,279.939266837246
2003,Illinois,All students,277.160080956322
2003,Indiana,All students,281.220939756711
2003,Iowa,All students,283.953344744355
2003,Kansas,All students,284.191088052303
2003,Kentucky,All students,274.278472166639
2003,Louisiana,All students,266.328359269062
2003,Maine,All students,281.903773320764
2003,Maryland,All students,277.71611251074
2003,Massachusetts,All students,286.52069448017
2003,Michigan,All students,276.441861597672
2003,Minnesota,All students,290.680055978624
2003,Mississippi,All students,260.911933580199
2003,Missouri,All students,278.766250348876
2003,Montana,All students,285.928022552419
2003,Nebraska,All students,282.193755965696
2003,Nevada,All students,268.04313771367
2003,New Hampshire,All students,286.198468660005
2003,New Jersey,All students,281.407119904536
2003,New Mexico,All students,263.272906651625
2003,New York,All students,279.749257044273
2003,North Carolina,All students,281.240350571106
2003,North Dakota,All students,287.14464048292
2003,Ohio,All students,281.607295379003
2003,Oklahoma,All students,271.905151347835
2003,Oregon,All students,280.892470910844
2003,Pennsylvania,All students,278.537758124922
2003,Rhode Island,All students,271.998694378475
2003,South Carolina,All students,277.300449617316
2003,South Dakota,All students,284.881736383978
2003,Tennessee,All students,268.175728562365
2003,Texas,All students,277.052648954338
2003,Utah,All students,280.64536966117
2003,Vermont,All students,285.6455721843
2003,Virginia,All students,281.676643366069
2003,Washington,All students,281.151364414263
2003,West Virginia,All students,270.770353447282
2003,Wisconsin,All students,283.915865654494
2003,Wyoming,All students,283.50334994463
2000,Alabama,All students,262.15820551985
2000,Alaska,All students,�
2000,Arizona,All students,270.715405900397
2000,Arkansas,All students,261.363712665471
2000,California,All students,262.171026590943
2000,Colorado,All students,�
2000,Connecticut,All students,281.902485561834
2000,Delaware,All students,�
2000,District of Columbia,All students,234.428798057957
2000,Florida,All students,�
2000,Georgia,All students,266.332047317995
2000,Hawaii,All students,262.772560543574
2000,Idaho,All students,277.917913542907
2000,Illinois,All students,276.909459049332
2000,Indiana,All students,283.051229255175
2000,Iowa,All students,�
2000,Kansas,All students,283.679619149647
2000,Kentucky,All students,271.561511404378
2000,Louisiana,All students,258.98200182432
2000,Maine,All students,283.641703580061
2000,Maryland,All students,276.014360058913
2000,Massachusetts,All students,283.123245551255
