STATE,YEAR,TOTAL_REVENUE,TOTAL_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE
Alabama,2012,7136949,7222161,2239569
Alaska,2012,2383402,2483320,947153
Arizona,2012,7934798,8054662,2856528
Arkansas,2012,5169926,5299969,1683928
California,2012,69016392,70191877,20393761
Colorado,2012,8616009,8472536,2751179
Connecticut,2012,10070907,9791336,2932123
Delaware,2012,1855867,1915966,531313
District of Columbia,2012,1331006,1189542,266716
Florida,2012,24139266,25352047,7607362
Georgia,2012,17559894,17400209,5043644
Hawaii,2012,2535038,2344733,814511
Idaho,2012,1981482,1911706,609786
Illinois,2012,29900021,29067543,9358604
Indiana,2012,12395432,11351906,3670372
Iowa,2012,6262807,6256926,1688512
Kansas,2012,5613619,5615714,1569972
Kentucky,2012,7192430,7444529,2320305
Louisiana,2012,8477993,8504567,2793437
Maine,2012,2611056,2625759,887596
Maryland,2012,13752912,13212140,4161605
Massachusetts,2012,15763456,15696061,4642633
Michigan,2012,18622316,18063824,5802009
Minnesota,2012,10681609,10696348,2555775
Mississippi,2012,4477828,4423270,1449935
Missouri,2012,10022622,9910617,2994397
Montana,2012,1628318,1652537,536815
Nebraska,2012,3764056,3880517,984922
Nevada,2012,4053945,4109706,1336995
New Hampshire,2012,2963221,2961684,868513
New Jersey,2012,27574528,26432652,8921990
New Mexico,2012,3478709,3616691,1097238
New York,2012,58981073,60216421,14662331
North Carolina,2012,12788659,13418244,3817233
North Dakota,2012,1345371,1380563,368323
Ohio,2012,22799205,22662376,7524489
Oklahoma,2012,5824963,5594867,1898922
Oregon,2012,6124872,6314092,2057965
Pennsylvania,2012,27881568,27851918,7682906
Rhode Island,2012,2208278,2190431,727287
South Carolina,2012,7889771,7948441,2489094
South Dakota,2012,1298723,1296971,379791
Tennessee,2012,8983224,9256522,2693334
Texas,2012,49979753,50215314,13954303
Utah,2012,4217360,4330417,1052249
Vermont,2012,1754161,1726321,518561
Virginia,2012,14940479,15129464,4744530
Washington,2012,11955582,12187889,3735795
West Virginia,2012,3970941,3536971,1155259
Wisconsin,2012,11139967,10724377,3525882
Wyoming,2012,1664983,1670728,540510
Alabama,2011,7376725,7411768,2295909
Alaska,2011,2357828,2443898,908567
Arizona,2011,8429186,8610417,2935127
Arkansas,2011,5176362,5669431,1655684
California,2011,70953331,69847705,20266047
Colorado,2011,8747471,8676451,2804955
Connecticut,2011,9783168,9439182,2844490
Delaware,2011,1759170,1808905,497158
District of Columbia,2011,1283071,1297175,389526
Florida,2011,26453693,26991946,8077593
Georgia,2011,18030043,17187481,5005101
Hawaii,2011,2499513,2259104,786284
Idaho,2011,2089982,1960818,613667
Illinois,2011,29507584,28525858,9271610
Indiana,2011,12125155,11113533,3548729
Iowa,2011,6098470,6057294,1638449
Kansas,2011,5538869,5662146,1530694
Kentucky,2011,7104589,7253850,2238626
Louisiana,2011,8022917,8218870,2582814
Maine,2011,2654366,2728535,874220
Maryland,2011,13443940,13247697,4150447
Massachusetts,2011,15396681,15150898,4583586
Michigan,2011,19374026,18469948,6024406
Minnesota,2011,10912368,10612480,2520057
Mississippi,2011,4516742,4345783,1393211
Missouri,2011,9915356,9842505,2975252
Montana,2011,1631810,1655584,540180
Nebraska,2011,3879388,3676326,951912
