"jurisdiction","year","prisoner_count","state_population","violent_crime_total","murder_manslaughter","rape_legacy","robbery","agg_assault","property_crime_total","burglary","larceny","vehicle_theft"
"KANSAS",2003,9168,2724786,10831,125,1085,2247,7374,109276,21973,79471,7832
"KENTUCKY",2003,11660,4118189,10232,181,1124,3224,5703,103370,26034,69083,8253
"LOUISIANA",2003,19498,4493665,28622,584,1601,7008,19429,193698,44572,129471,19655
"MAINE",2003,1974,1309205,1422,16,354,289,763,32078,6579,24043,1456
"MARYLAND",2003,23768,5512310,38778,525,1358,13302,23593,209418,38641,134372,36405
"MASSACHUSETTS",2003,9828,6420357,30377,140,1848,8011,20378,164543,34963,104069,25511
"MICHIGAN",2003,49358,10082364,51550,612,5470,11254,34214,330565,68316,208538,53711
"MINNESOTA",2003,7569,5064172,13316,127,2092,3906,7191,157663,27698,116216,13749
"MISSISSIPPI",2003,15863,2882594,9336,267,1079,3016,4974,106867,29564,68307,8996
"MISSOURI",2003,29864,5719204,28067,289,1400,6686,19692,233564,41997,161616,29951
"MONTANA",2003,3053,918157,3351,30,246,298,2777,28428,3722,22800,1906
"NEBRASKA",2003,4073,1737475,5105,56,504,1165,3380,65189,10133,48924,6132
"NEVADA",2003,10584,2242207,13813,197,871,5225,7520,96128,21958,53321,20849
"NEW HAMPSHIRE",2003,2427,1288705,1937,17,438,480,1002,26456,4589,19934,1933
"NEW JERSEY",2003,25718,8642412,31488,406,1288,13342,16452,220350,43457,142287,34606
"NEW MEXICO",2003,6223,1878562,12535,116,940,1937,9542,76816,18997,50595,7224
"NEW YORK",2003,65388,19212425,89486,934,3775,35790,48987,432079,75453,311422,45204
"NORTH CAROLINA",2003,33874,8421190,38243,506,2139,12229,23369,359660,100687,232081,26892
"NORTH DAKOTA",2003,1100,633400,508,9,160,53,286,13364,1959,10327,1078
"OHIO",2003,44350,11437680,38185,526,4660,16895,16104,417483,95083,281383,41017
"OKLAHOMA",2003,22688,3506469,17758,206,1501,3224,12827,151208,34846,103404,12958
"OREGON",2003,12207,3564330,10506,68,1218,2847,6373,169863,28562,122327,18974
"PENNSYLVANIA",2003,40879,12370761,49210,647,3556,17980,27027,300639,53918,213279,33442
"RHODE ISLAND",2003,3576,1076084,3074,25,505,830,1714,32231,5524,22320,4387
"SOUTH CAROLINA",2003,22942,4148744,33455,303,1952,5801,25399,187592,43993,127809,15790
"SOUTH DAKOTA",2003,3019,764905,1329,10,356,104,859,15324,2878,11572,874
"TENNESSEE",2003,19141,5845208,40409,396,2129,9413,28471,256565,63323,166769,26473
"TEXAS",2003,153056,22103374,122246,1422,8025,37017,75782,1016735,219877,698644,98214
"UTAH",2003,4623,2352119,5889,60,919,1258,3652,100084,16961,75321,7802
"VERMONT",2003,1491,619343,707,15,126,62,504,13803,3017,10132,654
"VIRGINIA",2003,30915,7365284,20490,416,1807,6713,11554,200449,29105,153367,17977
"WASHINGTON",2003,16227,6131298,21272,182,2863,5718,12509,291542,58271,192653,40618
"WEST VIRGINIA",2003,3790,1811440,4627,73,311,701,3542,42370,10498,28409,3463
"WISCONSIN",2003,22153,5474290,12104,183,1202,4397,6322,157684,26546,118775,12363
"WYOMING",2003,1630,502111,1314,14,136,84,1080,16648,2611,13239,798
"ALABAMA",2004,25635,4525375,19324,254,1742,6042,11286,182340,44666,123650,14024
"ALASKA",2004,4534,657755,4159,37,558,447,3117,22172,3773,16159,2240
"ARIZONA",2004,32384,5739879,28952,414,1896,7721,18921,291203,56885,179012,55306
"ARKANSAS",2004,12577,2750000,13814,176,1183,2372,10083,110911,30151,74242,6518
"CALIFORNIA",2004,163939,35842038,189175,2392,9615,61768,115400,1227194,245903,728687,252604
"COLORADO",2004,19655,4601821,17121,201,1945,3739,11236,180322,33010,123308,24004
"CONNECTICUT",2004,17993,3498966,10113,100,755,4188,5070,93942,15959,66770,11213
"DELAWARE",2004,6753,830069,5105,28,357,1343,3377,27256,5669,19285,2302
"FLORIDA",2004,83165,17385430,123754,946,6612,29997,86199,727141,166332,482484,78325
"GEORGIA",2004,51104,8918129,40217,613,2387,13656,23561,376656,82992,249426,44238
"HAWAII",2004,5555,1262124,3213,33,333,944,1903,60525,10827,41078,8620
"IDAHO",2004,5758,1395140,3452,31,594,241,2586,38799,7671,28389,2739
"ILLINOIS",2004,44054,12712016,69365,780,4220,22582,41783,403486,76088,287025,40373
"INDIANA",2004,21984,6226537,20294,316,1803,6373,11802,211929,42168,148670,21091
"IOWA",2004,8525,2952904,8499,44,782,1160,6513,85775,17928,62214,5633
"KANSAS",2004,8991,2733697,10330,122,1142,1812,7254,109771,20146,81115,8510
"KENTUCKY",2004,13322,4141835,10152,236,1238,3268,5410,105209,25902,70535,8772
"LOUISIANA",2004,19470,4506685,28844,574,1616,6564,20090,199153,45359,134080,19714
"MAINE",2004,2013,1314985,1364,18,315,289,742,31740,6341,24096,1303
"MARYLAND",2004,23289,5561332,38961,521,1317,12772,24351,202474,36704,129888,35882
"MASSACHUSETTS",2004,9825,6407382,29489,171,1794,7484,20040,158150,34497,101605,22048
"MICHIGAN",2004,48831,10104206,49737,643,5482,11336,32276,309805,64233,194988,50584
"MINNESOTA",2004,7983,5096546,13751,113,2123,4070,7445,155019,28048,113453,13518
"MISSISSIPPI",2004,16359,2900768,8568,227,1161,2503,4677,100980,27661,65440,7879
"MISSOURI",2004,30682,5759532,28226,354,1479,6630,19763,224629,40472,158264,25893
"MONTANA",2004,2703,926920,2723,30,273,233,2187,27215,3515,22082,1618
"NEBRASKA",2004,4137,1747704,5393,40,620,1138,3595,61512,9826,46399,5287
"NEVADA",2004,11033,2332898,14379,172,954,4905,8348,98215,23142,52438,22635
"NEW HAMPSHIRE",2004,2443,1299169,2202,17,466,500,1219,26658,4979,19723,1956
"NEW JERSEY",2004,25435,8685166,30943,392,1331,13076,16144,211313,41030,139977,30306
"NEW MEXICO",2004,6403,1903006,13081,169,1039,2062,9811,79895,19924,52069,7902
"NEW YORK",2004,64024,19280727,84914,889,3608,33506,46911,422734,70696,311036,41002
"NORTH CAROLINA",2004,35544,8540468,38244,532,2339,11782,23591,355328,101193,227147,26988
"NORTH DAKOTA",2004,1130,636308,558,8,177,43,330,12493,2040,9516,937
"OHIO",2004,44150,11450143,38787,506,4744,17429,16108,419337,96518,282168,40651
"OKLAHOMA",2004,22621,3523546,17635,186,1557,3090,12802,149472,35244,101271,12957
"OREGON",2004,12652,3591363,10724,90,1283,2751,6600,166475,30072,117868,18535
"PENNSYLVANIA",2004,40506,12394471,50998,650,3535,18474,28339,299611,54443,214199,30969
"RHODE ISLAND",2004,3169,1079916,2673,26,320,731,1596,31166,5465,21623,4078
"SOUTH CAROLINA",2004,22650,4197892,33160,286,1772,5468,25634,190456,43739,130991,15726
"SOUTH DAKOTA",2004,3053,770621,1319,17,336,112,854,14885,3148,10890,847
"TENNESSEE",2004,19331,5893298,41113,357,2282,8863,29611,254991,60386,169828,24777
"TEXAS",2004,156682,22471549,121554,1364,8388,35817,75985,1010702,220118,696507,94077
"UTAH",2004,4720,2420708,5647,46,967,1236,3398,97762,15225,74889,7648
"VERMONT",2004,1968,621233,713,16,160,78,459,14559,3435,10537,587
"VIRGINIA",2004,31072,7481332,20608,390,1816,6899,11503,200368,28759,154154,17455
"WASHINGTON",2004,16503,6207046,21330,190,2857,5866,12417,300837,60632,196972,43233
"WEST VIRGINIA",2004,3990,1812548,5110,68,346,774,3922,46326,10994,31566,3766
"WISCONSIN",2004,22152,5503533,11548,154,1136,4067,6191,146710,23854,111482,11374
"WYOMING",2004,1765,505887,1163,11,112,67,973,16889,2738,13352,799
"ALABAMA",2005,24315,4548327,19678,374,1564,6447,11293,177393,43473,120780,13140
"ALASKA",2005,4798,663253,4194,32,538,537,3087,23975,4131,17249,2595
"ARIZONA",2005,33345,5953007,30478,445,2006,8579,19448,287345,56328,176112,54905
"ARKANSAS",2005,12455,2775708,14670,189,1202,2532,10747,112914,30118,75510,7286
"CALIFORNIA",2005,168035,36154147,190178,2503,9392,63622,114661,1200531,250521,692467,257543
"COLORADO",2005,21063,4663295,18498,173,2026,3948,12351,188449,34746,127602,26101
"CONNECTICUT",2005,17928,3500701,9542,105,712,3933,4792,90270,15245,64416,10609
"DELAWARE",2005,6788,841741,5332,37,377,1306,3612,26245,5811,18085,2349
"FLORIDA",2005,86559,17768191,125957,883,6592,30141,88341,712998,164783,472912,75303
"GEORGIA",2005,48749,9132553,40725,564,2143,14041,23977,378534,84463,249594,44477
"HAWAII",2005,5739,1273278,3253,24,343,1001,1885,61115,9792,42188,9135
"IDAHO",2005,6249,1429367,3670,35,577,266,2792,38556,8066,27606,2884
"ILLINOIS",2005,44919,12765427,70496,770,4313,23255,42158,394670,77635,277662,39373
"INDIANA",2005,22760,6266019,20302,356,1856,6809,11281,216778,43756,151278,21744
"IOWA",2005,8737,2965524,8697,40,847,1153,6657,84370,18147,60723,5500
"KANSAS",2005,9090,2748172,10701,101,1098,1795,7707,104588,19028,76222,9338
"KENTUCKY",2005,14904,4172608,11134,190,1421,3690,5833,105608,26458,70354,8796
"LOUISIANA",2005,19371,4507331,26889,450,1421,5337,19681,166611,39382,112840,14389
"MAINE",2005,1970,1318220,1483,19,326,323,815,31889,6323,24218,1348
"MARYLAND",2005,22553,5589599,39369,552,1266,14378,23173,198483,35922,128491,34070
"MASSACHUSETTS",2005,10348,6433367,29644,178,1751,7837,19878,151727,34728,98079,18920
"MICHIGAN",2005,49493,10100833,55936,629,5199,13348,36760,312892,70527,194090,48275
"MINNESOTA",2005,8718,5126739,15243,115,2258,4724,8146,158301,29716,114304,14281
"MISSISSIPPI",2005,16089,2908496,8131,214,1147,2405,4365,95231,26866,60873,7492
"MISSOURI",2005,30415,5797703,30477,402,1625,7196,21254,227809,42822,159288,25699
"MONTANA",2005,2822,934737,2634,18,301,177,2138,29407,3642,23794,1971
"NEBRASKA",2005,4405,1758163,5052,44,581,1040,3387,60348,9408,45359,5581
"NEVADA",2005,11662,2412301,14654,206,1016,4702,8730,102424,23481,52012,26931
"NEW HAMPSHIRE",2005,2423,1306819,1761,19,406,365,971,24031,4192,18493,1346
"NEW JERSEY",2005,25619,8703150,30919,417,1208,13215,16079,203391,38980,136728,27683
"NEW MEXICO",2005,6571,1925985,12448,144,1041,1893,9370,79575,20939,50707,7929
"NEW YORK",2005,63032,19315721,85839,874,3636,35179,46150,405990,68034,302220,35736
"NORTH CAROLINA",2005,36646,8672459,40650,585,2302,12635,25128,353855,104298,221091,28466
"NORTH DAKOTA",2005,1318,634605,706,12,180,54,460,12848,2043,9732,1073
"OHIO",2005,45189,11470685,40162,590,4671,18673,16228,420705,100183,279051,41471
"OKLAHOMA",2005,22907,3543442,18044,187,1481,3230,13146,143406,35692,93814,13900
"OREGON",2005,12887,3638871,10444,80,1266,2478,6620,160199,27621,113316,19262
"PENNSYLVANIA",2005,41941,12405348,52761,756,3586,19214,29205,300444,56134,214916,29394
"RHODE ISLAND",2005,3414,1073579,2710,34,323,776,1577,29287,5319,19567,4401
"SOUTH CAROLINA",2005,22456,4246933,32590,314,1862,5657,24757,185606,42741,126489,16376
"SOUTH DAKOTA",2005,3346,774883,1387,18,377,145,847,13694,2505,10350,839
"TENNESSEE",2005,19270,5955745,45104,431,2194,10009,32470,256093,61508,169357,25228
"TEXAS",2005,157081,22928508,121091,1407,8511,35790,75383,990293,219828,677042,93423
"UTAH",2005,5058,2490334,5612,56,920,1095,3541,95546,14971,72082,8493
"VERMONT",2005,2078,622387,782,8,153,76,545,14749,3185,10894,670
"VIRGINIA",2005,30722,7564327,21434,458,1763,7495,11718,200404,29829,154584,15991
"WASHINGTON",2005,16781,6291899,21745,205,2811,5788,12941,307661,60343,198031,49287
"WEST VIRGINIA",2005,4036,1814083,4968,82,335,816,3735,47757,11334,32603,3820
"WISCONSIN",2005,21921,5527644,13367,206,1135,4555,7471,147556,24448,110531,12577
"WYOMING",2005,2096,508798,1172,14,122,78,958,16070,2426,12905,739
"ALABAMA",2006,24103,4599030,19553,382,1646,7062,10463,181249,44780,121451,15018
"ALASKA",2006,5052,670053,4610,36,512,600,3462,23975,4155,17284,2536
"ARIZONA",2006,35752,6166318,33456,533,2449,9491,20983,294389,59418,178321,56650
"ARKANSAS",2006,12854,2810872,15538,205,1325,2749,11259,112025,31864,72646,7515
"CALIFORNIA",2006,172298,36457549,194483,2486,9235,71142,111620,1159988,247230,669103,243655
"COLORADO",2006,22051,4753377,18794,171,2158,3824,12641,163439,32411,110372,20656
"CONNECTICUT",2006,18902,3504809,10505,137,696,4460,5212,90638,15583,64765,10290
"DELAWARE",2006,7021,853476,5983,42,417,1791,3733,29670,6337,20449,2884
"FLORIDA",2006,90377,18089888,129602,1129,6475,34147,87851,721101,170873,473774,76454
"GEORGIA",2006,52792,9363941,44754,605,2169,15511,26469,362712,85140,234445,43127
"HAWAII",2006,5510,1285498,3608,21,353,1144,2090,54247,8724,37784,7739
"IDAHO",2006,6665,1466465,3666,35,611,294,2726,35135,7545,25154,2436
"ILLINOIS",2006,45106,12831970,69498,780,4078,23782,40858,387478,77259,272578,37641
"INDIANA",2006,24901,6313520,20303,361,1811,7175,10956,217783,45538,150655,21590
"IOWA",2006,8838,2982085,8521,55,871,1309,6286,84202,18160,60998,5044
"KANSAS",2006,8833,2764075,11960,125,1279,1878,8678,104260,20086,75450,8724
"KENTUCKY",2006,15589,4206074,11361,173,1312,3850,6026,109428,27867,72197,9364
"LOUISIANA",2006,20815,4287768,30923,555,1587,5928,22853,174975,46703,112605,15667
"MAINE",2006,2083,1321574,1533,23,341,383,786,33658,6846,25465,1347
"MARYLAND",2006,22662,5615727,38111,546,1178,14376,22011,195484,37459,127502,30523
"MASSACHUSETTS",2006,10773,6437193,32217,188,1771,8080,22178,153943,35243,100725,17975
"MICHIGAN",2006,51515,10095643,56981,721,5347,14229,36684,325594,76313,199183,50098
"MINNESOTA",2006,8814,5167101,16042,126,1645,5441,8830,159276,30306,115693,13277
"MISSISSIPPI",2006,16384,2910540,9076,231,1039,3259,4547,92853,27117,57406,8330
"MISSOURI",2006,30116,5842713,31897,369,1764,7597,22167,224007,44734,153874,25399
"MONTANA",2006,2948,944632,3564,33,348,233,2950,26986,3380,21659,1947
"NEBRASKA",2006,4399,1768331,5197,51,577,1136,3433,59411,9535,44710,5166
"NEVADA",2006,12754,2495529,18687,226,1092,7038,10331,102338,24902,50429,27007
"NEW HAMPSHIRE",2006,2676,1314895,1785,13,295,435,1042,26060,4395,20179,1486
"NEW JERSEY",2006,25554,8724560,30550,427,1201,13360,15562,198820,39384,134687,24749
"NEW MEXICO",2006,6639,1954599,12797,134,1073,2095,9495,76000,20906,45864,9230
"NEW YORK",2006,63538,19306183,84016,922,3168,34459,45467,398577,68617,297827,32133
"NORTH CAROLINA",2006,37725,8856505,42088,539,2495,13468,25586,364549,107333,227114,30102
"NORTH DAKOTA",2006,1337,635867,1255,14,241,75,925,13359,2601,9672,1086
"OHIO",2006,48482,11478006,41491,560,4770,19418,16743,423334,105639,279718,37977
"OKLAHOMA",2006,22873,3579212,17905,210,1488,3145,13062,129728,34437,81853,13438
"OREGON",2006,13191,3700758,10534,88,1219,2711,6516,137858,24324,98897,14637
"PENNSYLVANIA",2006,43971,12440621,55028,741,3611,21095,29581,304589,57739,217142,29708
"RHODE ISLAND",2006,3713,1067610,2460,27,289,740,1404,27914,5453,18852,3609
"SOUTH CAROLINA",2006,22930,4321249,33322,362,1834,5902,25224,184712,42952,125075,16685
"SOUTH DAKOTA",2006,3316,781919,2071,30,465,158,1418,13812,3024,9954,834
"TENNESSEE",2006,19312,6038803,46043,419,2194,11143,32287,249860,63024,164183,22653
"TEXAS",2006,158510,23507783,121602,1386,8429,37256,74531,959846,215710,648711,95425
"UTAH",2006,5031,2550063,5771,51,891,1242,3587,89572,14721,66480,8371
"VERMONT",2006,2215,623908,905,14,173,114,604,14920,3443,10857,620
"VIRGINIA",2006,30823,7642884,21683,403,1829,7779,11672,190257,32166,143292,14799
"WASHINGTON",2006,16827,6395798,22303,197,2748,6424,12934,288456,58843,183179,46434
"WEST VIRGINIA",2006,4367,1818470,5113,80,404,853,3776,47941,11579,32305,4057
"WISCONSIN",2006,22564,5556506,15899,165,1233,5564,8937,156748,27038,115682,14028
"WYOMING",2006,2035,515004,1307,13,151,72,1071,15381,2322,12255,804
"ALABAMA",2007,25253,4627851,20775,412,1548,7398,11417,184082,45379,124465,14238
"ALASKA",2007,5151,683478,4520,43,545,581,3351,23096,3734,16929,2433
"ARIZONA",2007,37700,6338755,32835,548,2353,9764,20170,287308,59988,177076,50244
"ARKANSAS",2007,13275,2834797,15226,198,1294,3105,10629,112130,32035,73096,6999
"CALIFORNIA",2007,171444,36553215,191561,2262,9046,70706,109547,1112510,237850,654526,220134
"COLORADO",2007,22666,4861515,17101,155,2075,3461,11410,145808,28633,100519,16656
"CONNECTICUT",2007,19438,3502309,10547,113,690,4303,5441,86528,15640,60937,9951
"DELAWARE",2007,7110,864764,6100,39,341,1763,3957,29216,6420,20454,2342
"FLORIDA",2007,95187,18251243,131878,1202,6149,38155,86372,746249,181836,490783,73630
"GEORGIA",2007,54256,9544750,46917,720,2198,17291,26708,371248,90294,238436,42518
"HAWAII",2007,5457,1283388,3544,24,377,1122,2021,52866,9089,37494,6283
"IDAHO",2007,7055,1499402,3841,49,607,243,2942,34124,7131,24727,2266
"ILLINOIS",2007,45215,12852548,68528,752,4103,23100,40573,377322,75524,267911,33887
"INDIANA",2007,25137,6345289,21310,350,1738,7845,11377,213887,46485,147999,19403
